Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Abdominal Aortic Aneurysm,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Abdominal Hernia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Abscess Of Nose,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Abscess Of The Lung,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Abscess Of The Pharynx,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acanthosis Nigricans,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acariasis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Achalasia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acne,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Actinic Keratosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acute Bronchitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acute Bronchospasm,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acute Fatty Liver Of Pregnancy (Aflp),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acute Glaucoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acute Kidney Injury,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
